2015
January,21.9(9.5, 7.5),24.6(5.4, 4.4),254.7
February,20.2(9.8, 7.7),24.4(4.7, 3.8),197.4
March,20.3(9.1, 7.2),22.2(4.7, 3.7),186.5
April,20.9(9.9, 7.9),19.1(4.2, 3.4),125.6
May,16.8(10.7, 8.4),14.8(4.7, 3.8),107.1
June,18.0(10.4, 8.1),14.8(4.3, 3.5),81.6
July,16.2(9.4, 7.4),13.5(3.9, 3.1),79.4
August,17.7(9.9, 7.7),14.0(4.1, 3.2),101.8
September,18.9(10.2, 8.0),15.4(5.3, 4.2),167.1
October,18.0(9.1, 7.2),19.0(4.8, 3.7),191.1
November,20.2(9.5, 7.5),20.8(5.0, 3.9),239.0
December,21.6(8.6, 6.8),21.9(5.6, 4.4),265.5
